Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-01,Movie Openings as Thesis Statements,,https://boxd.it/mzxas,"My favorite movie openings are those that serve as visual thesis statements -- sometimes they don't need dialogue for exposition to introduce their worlds. Other times, the dialogue goes above and beyond what it needs to do with so much underneath to chew on. These openings theoretically could function independently as short films.

I will expand at my own rate as movies come to mind and/or hit me emotionally. Reasoning is included in the notes."

Position,Name,Year,URL,Description
1,Melancholia,2011,https://boxd.it/bPI,"One of the best short films of all time is the first 8 minutes of this movie. An operatic, artistic, surreal, beautiful, haunting, unforgettable thesis statement that captures an aesthetic of depression so insanely well."
2,Blue Velvet,1986,https://boxd.it/29BI,"One of the most well-executed contrasts in any movie I've seen, <i>Blue Velvet</i> opens with a flawless portrayal of stereotypical Americana that slowly grows darker and darker. Things make you uncomfortable, not everything is what it seems, and at the end of it, there is always something gross going on under our feet that we either don't see or choose not to see."
3,Cameraperson,2016,https://boxd.it/d5ve,"The first two segments perfectly encapsulate the beauty and self-awareness of this movie, both as a personal memoir and antithesis to traditional documentary form. It's awesome."
4,Paris Is Burning,1990,https://boxd.it/1jzg,"The most recent and arguably best example I have seen with opening on a city skyline and getting closer and closer to the ground until we fixate in on a group of people who are often not associated with said city. That wasn't worded terribly well, but I hope you follow. It's so well edited and exciting right off the bat.

The message -- this is a city everyone knows for one reason or another. Let me introduce you to a part of the city you probably know very little about!"
5,The Banshees of Inisherin,2022,https://boxd.it/p7XS,"Beautiful music, beautiful landscape photography, and from what I recall, no consistent dialogue until after Padraic talks to his sister about Callum ignoring him. It's a perfect contrast between the stunning island of Inishmore and the darkness that lies within the life that lives there and ESPECIALLY the darkness that is going to follow the rest of the film."
6,Funny Pages,2022,https://boxd.it/lrlm,"The message is darkly hilarious and clear from the first 5 minutes, and you may or may not realize until long after the film is over."
7,Shame,2011,https://boxd.it/2CxU,"A 9-minute brooding montage of Brandon's daily life accompanied by perfect mise-en-scene that establishes his distance, both physical and emotional, from everyone in his life and his desire for a normal relationship."
8,Oldboy,2003,https://boxd.it/29R2,
9,Irreversible,2002,https://boxd.it/29as,
10,Titane,2021,https://boxd.it/nlQC,
11,Beau Is Afraid,2023,https://boxd.it/u2gE,
